FACT;SOURCE;LANG
15 people die in the U.S. every year from dog bites;3;en
30% of Dalmatians are deaf in one ear;1;en
45% of dogs sleep in their owner's bed (we're pretty sure a large percentage also hog the blankets!);4;en
58% of people put pets in family and holiday portraits;3;en
62% of U.S. households own a pet, which equates to almost 73 million homes.;4;en
70% of people sign their pet's name on greeting and holiday cards;3;en
87% of dog owners say their dog curls up beside them or at their feet while they watch TV;3;en
A blind man and his guide dog hiked the Appalachian Trail;1;en
A Bloodhound's sense of smell can be used as evidence in court;1;en
According to a poll, 72% of dog owners believe their dog can detect when stormy weather is on the way.;4;en
A dog's mouth exerts 150-200 pounds of pressure per square inch. Some dog breeds can exert up to 450 pounds per square inch.;3;en
A dog's normal temperature is between 101 and 103 degrees Fahrenheit (38 and 39 Celsius).;4;en
A dog's nose prints are as unique as a human's fingerprints and can be used to accurately identify them;3;en
A dog's only sweat glands are between their paw pads;3;en
A Dog's sense of smell is 10 to 100 thousand times more acute as that of humans;4;en
A German Shepherd guide dog led her blind companion through the entire 2100-mile Appalachian trail;3;en
A Greyhound could beat a Cheetah in a long distance race;1;en
A large breed dog's resting heart beats between 60 to 100 times per minute, and a small dog breed's heart beats between 100-140. Comparatively, a resting human heart beats 60-100 times per minute.;4;en
An African wolf dog known as the Basenji is the only dog in the world that cannot bark.;3;en
An American Animal Hospital Association poll found that 33% of dog owners admit to talking to their dogs on the phone and leaving answering machine messages for them while away;3;en
An estimated 1 million dogs in the U.S. have been named as the primary beneficiaries in their owner's will.;3;en
A one year old dog is as mature, physically, as a 15-year old human.;3;en
A study at UCSD claims that your dog can genuinely get jealous when they see you display affection for another creature;2;en
Basenji dogs don't bark, they yodel;1;en
Basset Hounds cannot swim;3;en
Bingo is the name of the dog on the side of the Cracker Jack box;3;en
Chow Chows and Shar-Peis have black tongues;1;en
Dachshunds were originally bred to fight badgers;2;en
Dalmatian puppies are pure white when they are born and develop their spots as they grow older.;4;en
Dogs and humans have the same type of slow wave sleep (SWS) and rapid eye movement (REM) and during this REM stage dogs can dream. The twitching and paw movements that occur during their sleep are signs that your pet is dreaming.;4;en
Dogs can be trained to to detect cancer and other diseases in humans. Cancerous cells release different metabolic waste products than healthy cells in the human body. Dogs may even be able to sniff out cancer cells simply through smelling someone's breath.;2;en
Dogs chase their tails for a variety of reasons: curiosity, exercise, anxiety, predatory instinct or because of fleas.;4;en
Dogs curl up in a ball when they sleep due to an age-old instinct to keep themselves warm and protect their abdomen and vital organs from predators;4;en
Dogs DO have better low-light vision than humans because of a special light-reflecting layer behind their retinas;3;en
Dogs do not have an appendix;3;en
Dogs' ears are extremely expressive. It's no wonder! There are more than a dozen separate muscles that control a dog's ear movements.;4;en
Dogs' eyes contain a special membrane, called the tapetum lucidum, which allows them to see in the dark.;4;en
Dogs have about 1700 taste buds. Humans have approximately 9000 and cats have around 473.;4;en
